dispute_id,order_id,dispute_date,dispute_reason_code,customer_claim_text,label
DSP_53aeb48a,ORD_3f095512,2026-08-07T07:20:09.506572,not_as_described,"This does not match what I ordered, I want my money back.",friendly_fraud
DSP_07f70ab5,ORD_e709167a,2026-08-19T14:20:09.492337,item_not_received,I don't recall making this purchase and would like a refund.,friendly_fraud
DSP_e46577aa,ORD_0aef16a8,2026-04-08T22:20:09.517274,unauthorized_transaction,"I have never made this purchase, please reverse the charge immediately.",fraud
DSP_d836b1f2,ORD_f59437f2,2026-05-19T22:20:09.511430,not_as_described,"I never received this item, please refund me.",friendly_fraud
DSP_a375c135,ORD_bee0a6af,2026-03-03T18:20:09.491813,item_not_received,I don't recall making this purchase and would like a refund.,friendly_fraud
DSP_799957ae,ORD_9d7c686d,2026-04-15T06:20:09.517191,item_not_received,My order shows delivered but I never got the package.,merchant_error
DSP_15d02f78,ORD_f4741c8c,2026-08-24T20:20:09.487941,not_as_described,I don't recall making this purchase and would like a refund.,friendly_fraud
DSP_c42a48fc,ORD_56589c72,2026-03-09T19:20:09.510185,item_not_received,"This does not match what I ordered, I want my money back.",friendly_fraud
DSP_2d8071ed,ORD_fab2bd80,2026-03-27T04:20:09.516704,unauthorized_transaction,This transaction was not authorized by me or anyone on my account.,fraud
DSP_ab9322d0,ORD_1f3374df,2026-07-13T10:20:09.491076,item_not_received,My order shows delivered but I never got the package.,merchant_error
DSP_a760545c,ORD_a1c6ba27,2026-05-04T23:20:09.507870,unauthorized_transaction,This transaction was not authorized by me or anyone on my account.,fraud
DSP_439975c8,ORD_d981ff5c,2026-03-06T23:20:09.497805,not_as_described,"This does not match what I ordered, I want my money back.",friendly_fraud
DSP_b28dbba5,ORD_ad473ed6,2026-08-27T20:20:09.521782,not_as_described,"This does not match what I ordered, I want my money back.",friendly_fraud
DSP_b188e96e,ORD_b85f4a35,2026-07-31T00:20:09.497483,item_not_received,"This does not match what I ordered, I want my money back.",friendly_fraud
DSP_0aa8bf8b,ORD_603e0de5,2026-04-30T23:20:09.519843,item_not_received,My order shows delivered but I never got the package.,merchant_error
DSP_abdb50b0,ORD_e0eb3b12,2026-04-12T14:20:09.520617,item_not_received,"Tracking has not updated in over a week, where is my order?",merchant_error
