customer_id,device_id,first_seen_date,times_used
CUST_99827f26,DEV_d79dc36044,2023-03-22T10:20:09.473187,20
CUST_dd4b0bfa,DEV_9c14a6b8aa,2025-12-10T04:20:09.473219,5
CUST_dd4b0bfa,DEV_833b1fb0d3,2026-04-25T08:20:09.473231,21
CUST_45f1f1f4,DEV_0f1480a414,2025-03-17T01:20:09.473242,1
CUST_dd3ee6f4,DEV_4fa4c67479,2025-12-26T13:20:09.473250,22
CUST_dd3ee6f4,DEV_fce94c6582,2025-11-15T17:20:09.473256,3
CUST_83f0771e,DEV_f7a4379ebd,2024-09-13T04:20:09.473263,10
CUST_62dc0354,DEV_413069604e,2026-01-16T00:20:09.473270,9
CUST_62dc0354,DEV_88e7b2c021,2025-12-31T13:20:09.473276,7
CUST_4fd9bed8,DEV_0378186d4e,2025-12-17T19:20:09.473284,8
CUST_4fd9bed8,DEV_5f7ef498d2,2026-02-07T04:20:09.473299,12
CUST_4fd9bed8,DEV_b82f1cba60,2025-10-31T13:20:09.473305,23
CUST_a4eb7dd2,DEV_f5ca422b95,2026-01-31T14:20:09.473313,1
CUST_18035ae6,DEV_667340726a,2026-02-26T23:20:09.473320,2
CUST_18035ae6,DEV_1dafaaba67,2026-03-18T23:20:09.473326,16
CUST_a536006f,DEV_cb87aec860,2025-01-12T15:20:09.473333,20
CUST_a536006f,DEV_cbf12f7c2d,2024-08-30T15:20:09.473339,21
CUST_8bd755e0,DEV_94b100e902,2025-03-26T01:20:09.473346,25
CUST_84c2d354,DEV_5c1bf564fd,2025-11-14T02:20:09.473354,4
CUST_84c2d354,DEV_6a053a767c,2026-06-02T13:20:09.473359,15
CUST_321b5f58,DEV_b8257ed677,2024-08-03T23:20:09.473366,5
CUST_895e1d47,DEV_88c9fd5f45,2024-12-25T12:20:09.473374,24
CUST_19492b42,DEV_eeeb8ad6b8,2026-05-11T18:20:09.473381,18
CUST_f6b48342,DEV_5bdd2ee1ac,2025-08-12T06:20:09.473388,17
CUST_f6b48342,DEV_fc88074e67,2025-11-15T17:20:09.473394,9
CUST_5d13a432,DEV_3af57c0776,2025-04-15T13:20:09.473401,24
CUST_5d13a432,DEV_380fbe07ba,2025-09-09T19:20:09.473406,15
CUST_5d13a432,DEV_035ab83432,2026-06-05T18:20:09.473412,25
CUST_01779cd1,DEV_5e6e216b30,2024-05-30T05:20:09.473420,12
CUST_01779cd1,DEV_e7e3adfe4a,2026-02-18T10:20:09.473425,1
CUST_01779cd1,DEV_2fee0ef377,2025-02-26T05:20:09.473430,4
CUST_3d8d4184,DEV_76bb5214cc,2026-04-09T04:20:09.473440,13
CUST_1bd4c728,DEV_c923849731,2024-07-22T19:20:09.473447,22
CUST_1bd4c728,DEV_b50e2d4bbd,2025-04-30T07:20:09.473452,1
CUST_96d22655,DEV_13eae5a818,2026-07-11T03:20:09.473461,8
CUST_96d22655,DEV_b69cfd6ba3,2026-08-13T02:20:09.473466,15
CUST_f829b45d,DEV_2952cb44e4,2026-06-05T02:20:09.473474,14
CUST_f829b45d,DEV_f42fec2961,2026-07-23T18:20:09.473479,2
CUST_f829b45d,DEV_344358787b,2026-08-12T13:20:09.473485,16
CUST_7f0fcb95,DEV_84d03acea8,2026-04-23T05:20:09.473492,5
CUST_e4ccbde7,DEV_56ea22f7ce,2026-02-13T01:20:09.473500,24
CUST_b29b64a1,DEV_ce6a4db2b6,2023-08-11T09:20:09.473507,19
CUST_b29b64a1,DEV_63add82512,2025-10-09T09:20:09.473512,21
CUST_3b20b1d5,DEV_db5fa20881,2025-04-07T03:20:09.473519,14
CUST_3f443c76,DEV_295c7d5339,2026-06-11T21:20:09.473527,23
CUST_3f443c76,DEV_5cce1306d7,2026-05-19T16:20:09.473532,15
CUST_3f443c76,DEV_e802db42ec,2026-04-30T15:20:09.473537,12
CUST_c58a928c,DEV_8339d41e3f,2024-07-30T05:20:09.473544,21
CUST_a3402161,DEV_8817c8ac98,2025-07-10T14:20:09.473552,7
CUST_ac3d112e,DEV_4a6a40581c,2024-02-02T20:20:09.473559,22
CUST_ac3d112e,DEV_fb7f97e3a2,2025-06-13T02:20:09.473564,21
CUST_ac3d112e,DEV_c0d955f927,2026-07-09T21:20:09.473570,11
CUST_025d76a6,DEV_2c8135da98,2025-12-07T04:20:09.473577,7
CUST_0ab4ea8d,DEV_92ccccb199,2026-02-07T05:20:09.473585,7
CUST_6db1c13b,DEV_e91fbc7c98,2026-08-15T15:20:09.473592,11
CUST_6db1c13b,DEV_92b73d79c2,2026-08-15T18:20:09.473597,20
CUST_c7086a6b,DEV_b20395e07a,2025-10-29T18:20:09.473604,18
CUST_c6f45e60,DEV_8f295186d9,2025-08-29T19:20:09.473611,22
CUST_695e3445,DEV_7bec375705,2026-04-09T22:20:09.473619,12
CUST_695e3445,DEV_37aadde8ad,2025-12-21T04:20:09.473625,11
CUST_444fa0bd,DEV_e6f07bde6d,2025-02-24T21:20:09.473634,5
CUST_66ae02e8,DEV_01ba045511,2025-03-01T19:20:09.473641,24
CUST_66ae02e8,DEV_07ea4b59e2,2026-06-17T07:20:09.473646,15
CUST_38794c7c,DEV_7a56fb6756,2026-06-17T04:20:09.473655,4
CUST_38794c7c,DEV_14ce6e9632,2026-06-25T06:20:09.473660,8
CUST_f82fba46,DEV_8929b24d71,2026-08-09T23:20:09.473668,22
CUST_f82fba46,DEV_35d70a45d3,2026-04-10T13:20:09.473675,15
CUST_f82fba46,DEV_6342e45ad7,2026-03-10T22:20:09.473680,2
CUST_5f42cfe3,DEV_d6eda425d8,2026-01-28T09:20:09.473687,22
CUST_5f42cfe3,DEV_c3f630a881,2026-06-27T07:20:09.473692,23
CUST_5f42cfe3,DEV_519495e8ed,2026-01-06T20:20:09.473698,3
CUST_89f49bef,DEV_1e063402ea,2026-03-23T20:20:09.473705,5
CUST_6d4d4ef3,DEV_545079838b,2025-10-01T04:20:09.473712,18
CUST_f5e6de2d,DEV_aa6df5b4c5,2025-07-27T03:20:09.473719,17
CUST_f5e6de2d,DEV_e4c8b14d5d,2025-10-24T08:20:09.473724,17
CUST_2b1bcf8a,DEV_06393f29b1,2026-01-30T00:20:09.473732,4
CUST_2b1bcf8a,DEV_53616ff8dd,2025-06-07T09:20:09.473738,15
CUST_47d9d9c3,DEV_31c292e25c,2026-05-08T12:20:09.473747,15
CUST_47d9d9c3,DEV_a3eab29ea5,2026-05-11T09:20:09.473752,24
CUST_d54d0f80,DEV_1c36191702,2024-03-30T12:20:09.473759,22
CUST_d55a8b16,DEV_49d9edc498,2026-06-04T01:20:09.473766,16
CUST_f5d487c7,DEV_cbb349b400,2026-07-31T20:20:09.473773,14
CUST_81ac59b6,DEV_3eb7576a03,2025-08-08T11:20:09.473780,5
CUST_957f86ba,DEV_7afcbae41e,2025-10-25T05:20:09.473788,18
CUST_957f86ba,DEV_2f39a84bfd,2026-03-06T01:20:09.473793,4
CUST_83ebd13e,DEV_f3c9cf071e,2026-03-04T09:20:09.473800,24
CUST_04576277,DEV_ab4ea9dee0,2025-10-31T03:20:09.473808,10
CUST_24d98bde,DEV_20fb02be60,2026-06-09T06:20:09.473815,7
CUST_79db6d9c,DEV_4e6dd0f870,2025-12-18T15:20:09.473822,4
CUST_44a95f4a,DEV_180bca7bb4,2025-11-10T11:20:09.473829,4
CUST_7712622b,DEV_6d725e744a,2026-01-02T09:20:09.473836,18
CUST_7712622b,DEV_501ae0dff7,2026-07-26T03:20:09.473842,22
CUST_7b116665,DEV_e6888b4641,2025-02-20T22:20:09.473849,6
CUST_7b116665,DEV_822f19a90c,2025-02-08T00:20:09.473855,25
CUST_fe924987,DEV_f0b96a0861,2026-05-27T11:20:09.473862,1
CUST_e9fe081e,DEV_f4648a3d5c,2026-03-28T04:20:09.473871,22
CUST_37b40dea,DEV_f36833e147,2026-08-02T23:20:09.473878,21
CUST_4dd0950b,DEV_c9bf33fc88,2026-05-19T23:20:09.473885,17
CUST_4dd0950b,DEV_00c8eb7914,2026-01-13T10:20:09.473898,14
CUST_4dd0950b,DEV_a743396135,2025-05-14T12:20:09.473904,6
CUST_bbae998e,DEV_60ff7fea38,2024-08-13T12:20:09.473911,25
CUST_7d81d0be,DEV_47153572e2,2025-10-20T20:20:09.473918,2
CUST_7d81d0be,DEV_4ae611f142,2026-06-03T17:20:09.473923,25
CUST_7d81d0be,DEV_fe69d95b9b,2025-10-09T21:20:09.473928,22
CUST_a142bbae,DEV_e52d6d262c,2024-02-26T01:20:09.473936,14
CUST_49e47734,DEV_c1b06168b1,2026-06-26T09:20:09.473942,9
CUST_9bbdd356,DEV_70d09b0282,2023-10-07T19:20:09.473950,12
